,Date,Original Description,Category,Amount,Account Name
2,05/22/2017,xxx,Online Services,-200.00,Bank of America - Bank - Bofa Interest Checking
7,05/19/2017,BKOFAMERICA MOBILE 05/19 xxxxxx3821 DEPOSIT                                    *MOBILE       CA,Deposits,439.64,Bank of America - Bank - Bofa Interest Checking
13,05/15/2017,BKOFAMERICA ATM 05/14 #xxxxx9393 DEPOSIT                    MILLBRAE           MILLBRAE      CA,Deposits,95.00,Bank of America - Bank - Bofa Interest Checking
16,05/15/2017,INTEREST CHARGE ADJUSTMENT,Interest,3.41,Bank of America - Credit Card - BankAmericard Travel Rewards Visa Signat
19,05/15/2017,INTEREST CHARGE ADJUSTMENT,Interest,13.23,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
28,05/12/2017,AT&T   *PAYMENT          xxx-xxx-2020 TX,Cable/Satellite Services,-78.94,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
30,05/10/2017,Pending* WALGREENS STORE #x2939 SAN BRUNO US WALGREENS STORE #x2939 SAN BRUNO US,Healthcare/Medical,-6.88,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
36,05/08/2017,BKOFAMERICA MOBILE 05/07 xxxxxx2514 DEPOSIT                                    *MOBILE       CA,Deposits,110.68,Bank of America - Bank - Bofa Interest Checking
45,05/04/2017,TOYOTA FINANCIAL DES:RETAIL_PAY ID:xxxxxxxxxx0517            INDN:RONGKE LIN              CO ID:1953,Loans,-321.52,Bank of America - Bank - Bofa Interest Checking
58,04/29/2017,ADVANTAGE CAR # xx0301 INGLEWOOD CA,Automotive Expenses,-17.61,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
66,04/26/2017,Online scheduled payment to CSL 4521                        Confirmation# xxxxxx9045,Loans,-438.45,Bank of America - Bank - Adv Tiered Interest Chkg
86,04/17/2017,BKOFAMERICA ATM 04/15 #xxxxx6651 DEPOSIT                    MILLBRAE           MILLBRAE      CA,Deposits,72.61,Bank of America - Bank - Bofa Interest Checking
99,04/12/2017,AT&T   *PAYMENT          xxx-xxx-2020 TX,Cable/Satellite Services,-78.94,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
106,04/09/2017,Amazon Digital Svcs xxx-xxx-1072 WA,Entertainment,-14.99,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
110,04/07/2017,ADVANTAGE CAR # xx0301 INGLEWOOD CA,Automotive Expenses,-37.62,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
118,04/05/2017,"IRS  TREAS 310   DES:  TAX REF  ID:xxxxxxxxxxx0989           INDN:LIN, RONGKE & JEANNE N  CO ID:9111",Other Income,"8,579.00",Bank of America - Bank - Adv Tiered Interest Chkg
122,04/04/2017,TOYOTA FINANCIAL DES:RETAIL_PAY ID:xxxxxxxxxx0517            INDN:RONGKE LIN              CO ID:1953,Loans,-321.52,Bank of America - Bank - Bofa Interest Checking
125,04/03/2017,VENMO            DES:PAYMENT    ID:xxxxx9950                 INDN:KEVIN LIN               CO ID:3264,Online Services,-200.00,Bank of America - Bank - Bofa Interest Checking
127,04/03/2017,BKOFAMERICA MOBILE 04/03 xxxxxx4385 DEPOSIT                                    *MOBILE       CA,Deposits,"2,462.36",Bank of America - Bank - Adv Tiered Interest Chkg
138,03/31/2017,BABIES R US #6558 COLMA CA,Child/Dependent Expenses,-81.55,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
151,03/26/2017,Amazon Digital Svcs xxx-xxx-1072 WA,Entertainment,-47.99,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
153,03/24/2017,Online scheduled payment to CSL 4521                        Confirmation# xxxxxx8684,Loans,-438.45,Bank of America - Bank - Adv Tiered Interest Chkg
159,03/23/2017,CNN NEWS ST939 SANTA ANA CA,Hobbies,-3.28,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
163,03/21/2017,FASTRAK CSC              xxx-xxx-8655 CA,Business Miscellaneous,-25.00,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
170,03/16/2017,Check 663,Checks,-650.00,Bank of America - Bank - Adv Tiered Interest Chkg
171,03/16/2017,BKOFAMERICA ATM 03/16 #xxxxx3319 DEPOSIT                    MILLBRAE           MILLBRAE      CA,Deposits,250.00,Bank of America - Bank - Adv Tiered Interest Chkg
182,03/13/2017,AT&T   *PAYMENT          xxx-xxx-2020 TX,Cable/Satellite Services,-78.94,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
185,03/09/2017,Amazon Digital Svcs xxx-xxx-1072 WA,Entertainment,-14.99,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
190,03/07/2017,VENMO            DES:PAYMENT    ID:xxxxx2340                 INDN:KEVIN LIN               CO ID:3264,Online Services,-50.00,Bank of America - Bank - Bofa Interest Checking
192,03/06/2017,TOYOTA FINANCIAL DES:RETAIL_PAY ID:xxxxxxxxxx0517            INDN:RONGKE LIN              CO ID:1953,Loans,-321.52,Bank of America - Bank - Bofa Interest Checking
201,02/28/2017,BKOFAMERICA MOBILE 02/28 xxxxxx8340 DEPOSIT                                    *MOBILE       CA,Deposits,500.00,Bank of America - Bank - Bofa Interest Checking
203,02/28/2017,BKOFAMERICA MOBILE 02/28 xxxxxx7753 DEPOSIT                                    *MOBILE       CA,Deposits,"2,550.00",Bank of America - Bank - Adv Tiered Interest Chkg
205,02/27/2017,Check 662,Checks,-200.00,Bank of America - Bank - Adv Tiered Interest Chkg
208,02/27/2017,BKOFAMERICA ATM 02/27 #xxxxx6143 DEPOSIT                    MILLBRAE           MILLBRAE      CA,Deposits,300.00,Bank of America - Bank - Adv Tiered Interest Chkg
212,02/24/2017,Online scheduled payment to CSL 4521                        Confirmation# xxxxxx8458,Loans,-438.45,Bank of America - Bank - Adv Tiered Interest Chkg
218,02/14/2017,AT&T   *PAYMENT          xxx-xxx-2020 TX,Cable/Satellite Services,-78.87,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
219,02/13/2017,Check 661,Checks,-136.00,Bank of America - Bank - Adv Tiered Interest Chkg
228,02/09/2017,Amazon Digital Svcs xxx-xxx-1072 WA,Entertainment,-14.99,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
230,02/06/2017,TOYOTA FINANCIAL DES:RETAIL_PAY ID:xxxxxxxxxx0517            INDN:RONGKE LIN              CO ID:1953,Automotive Expenses,-321.52,Bank of America - Bank - Bofa Interest Checking
233,02/03/2017,BKOFAMERICA MOBILE 02/04 xxxxxx2389 DEPOSIT                                    *MOBILE       CA,Deposits,"2,550.00",Bank of America - Bank - Adv Tiered Interest Chkg
