date,no1,no2,no3,no4,no5
2014-01-01 00:00:00,-2.455729,1.023563,0.419956,-1.202199,1.862622
2014-01-01 01:00:00,-0.091570,0.802187,0.583286,-0.263465,-0.286365
2014-01-01 02:00:00,2.133224,0.339560,-0.870016,-0.080392,2.202145
2014-01-01 03:00:00,-0.249333,0.466388,1.779139,0.309620,0.884510
2014-01-01 04:00:00,1.802734,0.424385,0.267295,0.193358,-0.677530
2014-01-01 05:00:00,-0.282711,-0.899761,0.423785,-0.647469,-2.704326
2014-01-01 06:00:00,1.106946,1.588520,-0.141796,-0.438377,0.070438
2014-01-01 07:00:00,-1.484289,0.229128,1.802495,0.267559,-2.742836
2014-01-01 08:00:00,0.948688,0.417400,1.531806,1.989576,-0.068486
2014-01-01 09:00:00,0.421149,0.025223,0.909231,-0.565614,-1.843210
2014-01-01 10:00:00,-1.220977,-0.901043,1.016921,-0.613749,0.877446
2014-01-01 11:00:00,-0.326566,-0.135831,-1.787797,1.086725,-1.139831
2014-01-01 12:00:00,2.556401,1.061677,-0.321377,-0.752541,0.385669
2014-01-01 13:00:00,0.353775,1.582844,-1.149101,-1.874691,0.655600
2014-01-01 14:00:00,1.232912,0.467594,0.953873,-1.282330,-0.049244
2014-01-01 15:00:00,-0.337576,-0.179917,-1.193347,-0.987862,-1.203368
2014-01-01 16:00:00,-2.301886,-0.995433,2.080608,1.627722,-2.092783
2014-01-01 17:00:00,-0.919877,0.585378,-0.982250,1.318719,0.452138
2014-01-01 18:00:00,0.211824,1.716828,0.242348,-0.736379,1.149285
2014-01-01 19:00:00,-0.937532,-0.037048,1.308891,0.339680,-0.865891
2014-01-01 20:00:00,-0.297639,-0.196057,-0.579163,1.387024,-1.893492
2014-01-01 21:00:00,1.027479,-1.113773,-2.508628,-0.736914,0.612923
2014-01-01 22:00:00,-1.019605,-1.939819,-0.226839,-1.375339,-0.590629
2014-01-01 23:00:00,-0.663736,-1.260248,0.223086,-0.757375,1.012335
2014-01-02 00:00:00,0.474300,-0.058701,0.303809,0.482677,0.439217
2014-01-02 01:00:00,0.286775,-1.159639,-1.666416,0.342511,1.354715
2014-01-02 02:00:00,0.309543,1.512251,-0.636238,-0.083660,0.595900
2014-01-02 03:00:00,-0.125514,1.646157,0.225762,-0.070122,-0.643265
2014-01-02 04:00:00,1.493118,0.861088,1.590247,1.109962,-1.518696
2014-01-02 05:00:00,-0.555463,-1.503926,0.811411,1.690288,-0.298496
2014-01-02 06:00:00,0.056798,-0.185846,0.113871,-1.549532,-0.903818
2014-01-02 07:00:00,1.078817,-0.235744,1.082053,-2.279620,1.397328
2014-01-02 08:00:00,0.667144,0.530836,0.956237,-1.216700,0.294599
2014-01-02 09:00:00,-0.867648,2.266058,-0.017523,0.708657,-1.145125
2014-01-02 10:00:00,-0.334747,-2.479368,0.293027,-2.653251,0.071246
2014-01-02 11:00:00,-0.149314,-0.219731,0.143587,0.195028,1.150716
2014-01-02 12:00:00,-0.168079,0.261248,1.576618,-0.408838,0.444766
2014-01-02 13:00:00,-0.073805,2.309685,0.381833,1.173464,-0.852679
2014-01-02 14:00:00,-0.664148,0.313586,1.817290,-0.866230,-0.257422
2014-01-02 15:00:00,-0.567148,-1.094704,0.205877,1.582928,-1.387931
2014-01-02 16:00:00,-0.008393,0.128528,0.520616,0.062752,0.079992
2014-01-02 17:00:00,-1.420935,-0.799725,-0.938083,0.138713,-1.788978
2014-01-02 18:00:00,1.135963,-1.607850,0.061665,1.076478,-0.797221
2014-01-02 19:00:00,-1.219566,0.668961,0.240734,-0.351017,-0.719186
2014-01-02 20:00:00,1.419328,-1.398579,-0.937306,0.692599,-0.472012
2014-01-02 21:00:00,-1.716286,1.096630,0.184501,0.799018,0.965677
2014-01-02 22:00:00,-0.038983,0.268644,0.378951,-2.475468,-0.305410
2014-01-02 23:00:00,-1.034320,-1.621109,-0.099256,-0.024629,2.026947
2014-01-03 00:00:00,-0.492533,-1.586042,0.570869,-0.155452,-0.173475
2014-01-03 01:00:00,0.428068,-1.050005,-0.819516,0.545227,0.371006
